ura_carpark_name,type_of_lot,number_of_lots,lot_type
ANG MO KIO AVENUE 1 HEAVY VEHICLE PARK,Motor Car,0,C
ANG MO KIO STREET 62,Motor Car,15,C
ANG MO KIO STREET 63,Motor Car,45,C
ANG MO KIO STREET 64,Motor Car,11,C
JALAN KAYU OFF STREET,Motor Car,135,C
SELETAR AEROSPACE VIEW,Motor Car,34,C
AYER RAJAH CRESCENT,Motor Car,21,C
BALESTIER ROAD,Motor Car,5,C
BHAMO ROAD,Motor Car,9,C
BOON TECK ROAD,Motor Car,6,C
JALAN AMPAS,Motor Car,21,C
JALAN DUSUN,Motor Car,24,C
JALAN KEMAMAN,Motor Car,16,C
JALAN RAJA UDANG,Motor Car,16,C
JALAN RAMA RAMA,Motor Car,10,C
KIM KEAT CLOSE,Motor Car,22,C
LORONG AMPAS,Motor Car,6,C
MANDALAY ROAD,Motor Car,11,C
MARTABAN ROAD,Motor Car,16,C
MINBU ROAD,Motor Car,4,C
MINBU ROAD OFF STREET,Motor Car,111,C
PROME ROAD,Motor Car,3,C
SERVICE ROAD OFF BALESTIER ROAD,Motor Car,10,C
SHAN ROAD,Motor Car,11,C
SHREWSBURY ROAD,Motor Car,14,C
SHREWSBURY ROAD OFF STREET,Motor Car,29,C
TAN TOCK SENG LINK,Motor Car,12,C
BEDOK ROAD FOOD CENTRE OFF STREET,Motor Car,105,C
BEDOK SOUTH ROAD,Motor Car,0,C
BEDOK SPORTS COMPLEX (SSC),Motor Car,415,C
JALAN LANA,Motor Car,9,C
SERVICE ROAD OFF CHAI CHEE DRIVE,Motor Car,11,C
BENOI ROAD,Motor Car,43,C
BENOI SECTOR,Motor Car,14,C
BISHAN SPORTS COMPLEX (SSC),Motor Car,476,C
BRADDELL ROAD HEAVY VEHICLE PARK,Motor Car,0,C
JALAN BINCHANG,Motor Car,5,C
JALAN PEMIMPIN,Motor Car,21,C
SIN MING WALK,Motor Car,17,C
BACKLANE BET LORONG TELOK/CIRCULAR ROAD,Motor Car,0,C
BACKLANE BET NORTH CANAL ROAD/CIRCULAR RD,Motor Car,0,C
BACKLANE BET SYNAGOGUE STREET/CHURCH STREET,Motor Car,0,C
BACKLANE OFF SYNAGOGUE STREET,Motor Car,0,C
CIRCULAR ROAD,Motor Car,35,C
LORONG TELOK,Motor Car,25,C
PHILLIP STREET,Motor Car,24,C
BUKIT BATOK EAST AVENUE 2 HV PARK,Motor Car,0,C
BUKIT BATOK NATURE PARK OFF STREET,Motor Car,107,C
BUKIT BATOK ROAD / JURONG ROAD OFF STREET,Motor Car,30,C
BUKIT BATOK SWIMMING COMPLEX (SSC),Motor Car,20,C
HILLVIEW TERRACE,Motor Car,27,C
DELTA SPORTS COMPLEX (SSC),Motor Car,124,C
MARITIME SQUARE D OFF STREET,Motor Car,258,C
PRINCE PHILIP AVENUE,Motor Car,60,C
SEAH IM ROAD OFF STREET,Motor Car,436,C
TELOK BLANGAH DRIVE HEAVY VEHICLE PARK,Motor Car,0,C
TELOK BLANGAH HEIGHTS,Motor Car,0,C
TELOK BLANGAH STREET 31,Motor Car,0,C
TIONG BAHRU PARK OFF STREET,Motor Car,20,C
ADAM ROAD / DUNEARN CLOSE OFF STREET,Motor Car,12,C
ADAM ROAD FOOD CENTRE OFF STREET,Motor Car,63,C
ANAMALAI AVENUE,Motor Car,12,C
ANTHONY ROAD OFF STREET,Motor Car,52,C
BUKIT TIMAH LINK OFF STREET,Motor Car,29,C
BUKIT TIMAH MARKET OFF STREET,Motor Car,125,C
BUKIT TIMAH ROAD,Motor Car,11,C
CAIRNHILL ROAD SERVICE ROAD,Motor Car,12,C
CLEMENCEAU AVENUE,Motor Car,15,C
CLEMENCEAU AVENUE NORTH (NEWTON FC),Motor Car,243,C
CORONATION WALK,Motor Car,10,C
DAIRY FARM ROAD / PETIR ROAD HV PARK,Motor Car,0,C
DUNEARN CLOSE,Motor Car,24,C
KAMPONG JAVA FRINGE CAR PARK,Motor Car,183,C
KAMPONG JAVA ROAD,Motor Car,24,C
MAKEWAY AVENUE,Motor Car,11,C
PRINCE OF WALES ROAD,Motor Car,23,C
PRINCESS OF WALES ROAD,Motor Car,3,C
SIXTH AVENUE,Motor Car,21,C
STEVENS ROAD,Motor Car,9,C
3 CHANGI SOUTH AVENUE 4 (JTC),Motor Car,20,C
"BLK 20,22,24,26,28,30 CHANGI NORTH WAY (JTC)",Motor Car,97,C
"BLK 49,51,55,61,65 CHANGI NORTH CRES(JTC)",Motor Car,87,C
CHANGI BEACH PARK CP 1,Motor Car,66,C
CHANGI BEACH PARK CP 2,Motor Car,21,C
CHANGI BEACH PARK CP 3,Motor Car,37,C
CHANGI BEACH PARK CP 4,Motor Car,79,C
CHANGI BEACH PARK CP 5,Motor Car,39,C
CHANGI BEACH PARK CP 6,Motor Car,33,C
CHANGI NORTH CRESCENT,Motor Car,18,C
CHANGI NORTH RISE,Motor Car,13,C
CHANGI NORTH STREET 1,Motor Car,14,C
CHANGI NORTH STREET 2,Motor Car,9,C
CHANGI ROAD (BET JALAN KEMBANGAN/STILL ROAD),Motor Car,61,C
CHANGI ROAD (BET JOO CHIAT ROAD/STILL ROAD),Motor Car,61,C
CHANGI ROAD / JALAN WAKAFF OFF STREET,Motor Car,15,C
CHANGI ROAD OFF STREET,Motor Car,38,C
CHANGI ROAD SERVICE ROAD,Motor Car,38,C
CHANGI SOUTH AVENUE 2,Motor Car,12,C
CHANGI SOUTH AVENUE 4,Motor Car,28,C
CHANGI SOUTH STREET 1,Motor Car,58,C
CHANGI SOUTH STREET 2,Motor Car,77,C
CHANGI VILLAGE ROAD,Motor Car,21,C
EVERITT ROAD NORTH,Motor Car,14,C
JALAN LAPANG,Motor Car,6,C
JALAN MASJID,Motor Car,20,C
JALAN UBI,Motor Car,5,C
KAMPONG EUNOS,Motor Car,4,C
LANGSAT ROAD,Motor Car,5,C
LORONG 102 CHANGI,Motor Car,3,C
LORONG 104 CHANGI,Motor Car,11,C
LORONG 105 CHANGI,Motor Car,3,C
LORONG 106 CHANGI,Motor Car,3,C
LORONG 107 CHANGI,Motor Car,13,C
LORONG 108 CHANGI,Motor Car,11,C
LORONG BEKUKONG OFF STREET,Motor Car,167,C
LORONG MARICAN,Motor Car,10,C
LORONG MARZUKI,Motor Car,16,C
LORONG MELAYU,Motor Car,9,C
LORONG MYDIN,Motor Car,3,C
LORONG MYDIN OFF STREET,Motor Car,23,C
LORONG SARINA,Motor Car,8,C
NETHERAVON ROAD,Motor Car,16,C
SERVICE ROAD OFF JALAN MASJID,Motor Car,8,C
SIMS AVENUE (PAYA LEBAR RD/EUNOS RD),Motor Car,20,C
UPPER CHANGI ROAD / BEDOK ROAD OFF STREET,Motor Car,51,C
45 QUALITY ROAD (JTC),Motor Car,47,C
CHIA PING ROAD,Motor Car,20,C
CHIN BEE DRIVE,Motor Car,31,C
CHIN BEE ROAD,Motor Car,55,C
FOURTH CHIN BEE ROAD,Motor Car,0,C
JALAN BESUT,Motor Car,12,C
JALAN TUKANG,Motor Car,42,C
JOO YEE ROAD,Motor Car,14,C
LINK ROAD,Motor Car,23,C
QUALITY ROAD,Motor Car,30,C
SECOND CHIN BEE ROAD,Motor Car,8,C
SERVICE ROAD OFF QUALITY ROAD,Motor Car,36,C
THIRD CHIN BEE ROAD,Motor Car,41,C
CHOA CHU KANG WAY,Motor Car,0,C
SERVICE ROAD OFF CHOA CHU KANG AVE 1,Motor Car,42,C
STAGMONT RING HEAVY VEHICLE PARK,Motor Car,0,C
WOODLANDS ROAD LORRY PARK,Motor Car,0,C
BACKLANE BET ONAN ROAD / JOO CHIAT ROAD,Motor Car,0,C
CEYLON LANE,Motor Car,6,C
CEYLON ROAD,Motor Car,27,C
CRANE ROAD,Motor Car,4,C
DUNMAN ROAD FOOD CENTRE OFF STREET,Motor Car,10,C
EAN KIAM PLACE,Motor Car,26,C
EAST COAST PARK E1 OFF STREET,Motor Car,549,C
EAST COAST PARK E2 OFF STREET,Motor Car,353,C
EAST COAST PARK E3 OFF STREET,Motor Car,42,C
EAST COAST PARK SERVICE ROAD,Motor Car,0,C
EAST COAST ROAD (BET FRANKEL AVE/SIGLAP RD),Motor Car,7,C
EAST COAST ROAD (BET SIGLAP RD/JALAN JAMAL),Motor Car,5,C
EAST COAST ROAD (HAIG ROAD/TELOK KURAU ROAD),Motor Car,71,C
EVERITT ROAD,Motor Car,24,C
FORT ROAD/EAST COAST PARK HV PARK,Motor Car,30,C
JAGO CLOSE,Motor Car,5,C
JOO CHIAT LANE,Motor Car,10,C
JOO CHIAT PLACE,Motor Car,49,C
JOO CHIAT ROAD (CHANGI ROAD/EAST COAST ROAD),Motor Car,110,C
JOO CHIAT ROAD OFF STREET,Motor Car,99,C
JOO CHIAT TERRACE (JOO CHIAT RD/TEMBELING RD),Motor Car,28,C
LORONG 101 CHANGI,Motor Car,19,C
MARSHALL ROAD,Motor Car,37,C
ONAN ROAD,Motor Car,57,C
ONAN ROAD / JOO CHIAT ROAD OFF STREET,Motor Car,20,C
ONAN ROAD OFF STREET,Motor Car,15,C
PENNEFATHER ROAD,Motor Car,5,C
SERVICE ROAD OFF JOO CHIAT ROAD,Motor Car,12,C
SERVICE ROAD OFF ONAN ROAD,Motor Car,2,C
SERVICE ROAD OFF UPPER EAST COAST ROAD,Motor Car,14,C
SIGLAP LINK,Motor Car,0,C
TANJONG KATONG RD OFF ST (OPP WILKINSON RD),Motor Car,33,C
TANJONG KATONG ROAD OFF STREET,Motor Car,123,C
TELOK KURAU ROAD,Motor Car,22,C
TEMBELING ROAD,Motor Car,68,C
TEMBELING ROAD OFF STREET,Motor Car,200,C
UPPER EAST COAST ROAD OFF STREET,Motor Car,133,C
ALJUNIED ROAD OFF STREET,Motor Car,13,C
AROOZOO AVENUE,Motor Car,9,C
CEYLON ROAD OFF STREET,Motor Car,24,C
GEYLANG EAST SERVICE ROAD,Motor Car,6,C
GEYLANG EAST SWIMMING COMPLEX (SSC),Motor Car,14,C
GEYLANG ROAD,Motor Car,168,C
GUILLEMARD ROAD,Motor Car,8,C
JALAN AYER,Motor Car,9,C
KAMPONG BUGIS,Motor Car,16,C
KAMPONG BUGIS OFF STREET,Motor Car,29,C
LORONG 1 GEYLANG ROAD OFF STREET,Motor Car,65,C
LORONG 11 GEYLANG,Motor Car,22,C
LORONG 12 GEYLANG,Motor Car,19,C
LORONG 13 GEYLANG,Motor Car,20,C
LORONG 14 GEYLANG,Motor Car,44,C
LORONG 15 GEYLANG,Motor Car,22,C
LORONG 16 GEYLANG,Motor Car,12,C
LORONG 17 GEYLANG,Motor Car,27,C
LORONG 18 GEYLANG,Motor Car,8,C
LORONG 19 GEYLANG,Motor Car,38,C
LORONG 20 GEYLANG,Motor Car,12,C
LORONG 21 GEYLANG,Motor Car,25,C
LORONG 21 GEYLANG / GEYLANG ROAD OFF ST,Motor Car,29,C
LORONG 21 GEYLANG OFF STREET,Motor Car,35,C
LORONG 21A GEYLANG,Motor Car,8,C
LORONG 23 GEYLANG,Motor Car,57,C
LORONG 24 GEYLANG,Motor Car,20,C
LORONG 24A GEYLANG,Motor Car,53,C
LORONG 25 GEYLANG,Motor Car,37,C
LORONG 25/25A GEYLANG OFF STREET,Motor Car,105,C
LORONG 25A GEYLANG,Motor Car,29,C
LORONG 26 GEYLANG,Motor Car,12,C
LORONG 27 GEYLANG,Motor Car,26,C
LORONG 27A GEYLANG,Motor Car,19,C
LORONG 28 GEYLANG,Motor Car,38,C
LORONG 28 SERVICE ROAD GEYLANG,Motor Car,5,C
LORONG 29 GEYLANG,Motor Car,24,C
LORONG 3 GEYLANG,Motor Car,4,C
LORONG 30 GEYLANG,Motor Car,19,C
LORONG 31 GEYLANG,Motor Car,18,C
LORONG 31 GEYLANG OFF STREET,Motor Car,51,C
LORONG 32 GEYLANG,Motor Car,25,C
LORONG 33 GEYLANG,Motor Car,14,C
LORONG 34 GEYLANG,Motor Car,22,C
LORONG 35 GEYLANG,Motor Car,14,C
LORONG 36 GEYLANG,Motor Car,20,C
LORONG 36 GEYLANG OFF STREET,Motor Car,11,C
LORONG 37 GEYLANG,Motor Car,19,C
LORONG 37 GEYLANG OFF STREET,Motor Car,28,C
LORONG 38 GEYLANG,Motor Car,11,C
LORONG 39 GEYLANG,Motor Car,19,C
LORONG 39 SERVICE ROAD GEYLANG,Motor Car,5,C
LORONG 4 GEYLANG,Motor Car,13,C
LORONG 40 GEYLANG,Motor Car,21,C
LORONG 41 GEYLANG,Motor Car,44,C
LORONG 6 GEYLANG,Motor Car,26,C
LORONG 7 GEYLANG,Motor Car,12,C
LORONG 8 GEYLANG,Motor Car,31,C
LORONG 9 GEYLANG,Motor Car,11,C
LORONG 9/11 GEYLANG OFF STREET,Motor Car,56,C
LORONG BACHOK,Motor Car,13,C
LORONG BACHOK OFF STREET,Motor Car,25,C
LORONG TAHAR,Motor Car,2,C
SERVICE ROAD OFF LORONG 44 GEYLANG,Motor Car,5,C
SIMS AVENUE (BET LOR 3 GEYLANG/PAYA LEBAR RD),Motor Car,132,C
SIMS AVENUE SERVICE ROAD,Motor Car,16,C
SIMS PLACE,Motor Car,43,C
TALMA ROAD,Motor Car,15,C
TANJONG KATONG COMPLEX,Motor Car,378,C
WESTERHOUT ROAD,Motor Car,6,C
GUL AVENUE,Motor Car,46,C
GUL CIRCLE,Motor Car,39,C
GUL CRESCENT,Motor Car,8,C
GUL DRIVE,Motor Car,39,C
GUL LANE,Motor Car,21,C
GUL ROAD,Motor Car,99,C
GUL STREET 1,Motor Car,4,C
GUL STREET 2,Motor Car,6,C
GUL STREET 3,Motor Car,16,C
GUL STREET 4,Motor Car,10,C
GUL STREET 5,Motor Car,9,C
DELTA CIRCUS FRINGE CAR PARK,Motor Car,74,C
HAVELOCK ROAD,Motor Car,40,C
OUTRAM HILL,Motor Car,11,C
OUTRAM ROAD,Motor Car,27,C
OUTRAM ROAD OFF STREET,Motor Car,39,C
PEARL BANK OFF STREET,Motor Car,22,C
ARMENIAN ST / CANNING RISE OFF ST CAR PARK,Motor Car,43,C
ARMENIAN STREET,Motor Car,10,C
ARMENIAN STREET OFF STREET,Motor Car,52,C
CANNING RISE OFF STREET,Motor Car,37,C
FORT CANNING PARK A OFF STREET,Motor Car,42,C
FORT CANNING PARK B OFF STREET,Motor Car,39,C
FORT CANNING PARK C OFF STREET,Motor Car,58,C
HOLLAND DR/NORTH BOUNA VISTA RD OFF STREET,Motor Car,84,C
HOLLAND DRIVE OFF STREET,Motor Car,271,C
JALAN HITAM MANIS,Motor Car,19,C
JALAN KELABU ASAP,Motor Car,18,C
JALAN KUNING,Motor Car,4,C
JALAN MERAH SAGA,Motor Car,30,C
JALAN PUTEH JERNEH,Motor Car,4,C
JALAN RUMIA,Motor Car,29,C
WARNA ROAD,Motor Car,15,C
WARNA ROAD OFF STREET,Motor Car,42,C
ALIWAL STREET,Motor Car,69,C
ALLENBY ROAD,Motor Car,16,C
BABOO LANE,Motor Car,0,C
BACKLANE BET KELANTAN LANE/KELANTAN ROAD,Motor Car,0,C
BACKLANE BET KITCHENER ROAD/PLUMER ROAD,Motor Car,0,C
BACKLANE BET TOWNSHEND ROAD/JALAN BESAR,Motor Car,0,C
BACKLANE OFF CAVAN ROAD,Motor Car,0,C
BACKLANE OFF JALAN BERSEH,Motor Car,0,C
BEATTY LANE,Motor Car,15,C
CAVAN ROAD,Motor Car,13,C
FOCH ROAD,Motor Car,37,C
HAMILTON ROAD,Motor Car,54,C
HAMILTON ROAD OFF STREET,Motor Car,22,C
HORNE ROAD,Motor Car,34,C
JALAN BERSEH,Motor Car,34,C
JALAN BESAR,Motor Car,37,C
JALAN BESAR SPORTS COMPLEX (SSC),Motor Car,340,C
JELLICOE ROAD,Motor Car,10,C
KALLANG ROAD/CRAWFORD STREET OFF STREET,Motor Car,201,C
KELANTAN LANE,Motor Car,21,C
KELANTAN ROAD,Motor Car,72,C
KING GEORGE'S AVENUE OFF STREET,Motor Car,22,C
KING GEORGE'S AVENUE/ HORNE ROAD OFF STREET,Motor Car,60,C
MAUDE ROAD,Motor Car,31,C
PENHAS ROAD,Motor Car,23,C
PENHAS ROAD / LAVENDER STREET OFF STREET,Motor Car,29,C
PETAIN ROAD (JALAN BESAR / TYRWHITT ROAD),Motor Car,4,C
PLUMER ROAD,Motor Car,11,C
SERVICE ROAD BET HAMILTON RD/CAVAN RD,Motor Car,11,C
SERVICE ROAD BETWEEN PETAIN RD/ALLENBY RD,Motor Car,3,C
SERVICE ROAD OFF KING GEORGE'S AVENUE,Motor Car,21,C
SERVICE ROAD OFF PENHAS ROAD,Motor Car,9,C
SUNGEI ROAD OFF STREET,Motor Car,195,C
SUNGEI ROAD(WELD ROAD/ KELANTAN ROAD),Motor Car,7,C
TOWNSHEND ROAD,Motor Car,18,C
TYRWHITT ROAD,Motor Car,32,C
JOO KOON CIRCLE,Motor Car,42,C
JOO KOON CRESCENT,Motor Car,26,C
JOO KOON ROAD,Motor Car,15,C
JOO KOON WAY,Motor Car,30,C
SCIENCE CENTRE ROAD,Motor Car,34,C
TOH GUAN ROAD,Motor Car,5,C
BOON LAY SWIMMING COMPLEX (SSC),Motor Car,44,C
BULIM AVENUE HVP,Motor Car,0,C
JALAN BAHAR HEAVY VEHICLE PARK,Motor Car,8,C
32 TO 53 KALLANG PLACE (JTC),Motor Car,52,C
ALJUNIED ROAD (MINOR),Motor Car,19,C
BENDEMEER ROAD HEAVY VEHICLE PARK,Motor Car,19,C
GENTING LANE,Motor Car,44,C
GENTING LANE OFF STREET,Motor Car,40,C
GENTING LINK,Motor Car,2,C
GENTING ROAD,Motor Car,26,C
JALAN LEMBAH KALLANG,Motor Car,8,C
KALLANG AVENUE,Motor Car,80,C
KALLANG BAHRU,Motor Car,5,C
KALLANG BASIN SWIMMING COMPLEX (SSC),Motor Car,25,C
KALLANG SECTOR,Motor Car,48,C
KALLANG WAY,Motor Car,6,C
KALLANG WAY 1,Motor Car,7,C
KALLANG WAY 2A,Motor Car,17,C
KEMPAS ROAD,Motor Car,26,C
LORONG BAKAR BATU,Motor Car,50,C
LORONG PENDEK,Motor Car,4,C
SERVICE ROAD OFF GENTING LANE,Motor Car,6,C
SOON WING ROAD,Motor Car,10,C
TANNERY LANE,Motor Car,37,C
KALLANG SPORTS COMPLEX CAR PARK 4(SSC),Motor Car,694,C
KALLANG SPORTS COMPLEX CAR PARK 5(SSC),Motor Car,1473,C
KATONG SWIMMING POOL (SSC),Motor Car,21,C
OLD AIRPORT ROAD,Motor Car,16,C
WILKINSON ROAD,Motor Car,10,C
BACKLANE OFF BLAIR RD/ SPOTTISWOODE PARK ROAD,Motor Car,0,C
BLAIR ROAD,Motor Car,42,C
EVERTON ROAD,Motor Car,13,C
HOSPITAL DRIVE CAR PARK B OFF STREET,Motor Car,88,C
KEPPEL ROAD OFF STREET,Motor Car,105,C
SERVICE ROAD OFF EVERTON ROAD,Motor Car,6,C
SPOTTISWOODE PARK ROAD,Motor Car,10,C
ARAB STREET,Motor Car,95,C
BACKLANE BET ARAB STREET/JALAN PINANG,Motor Car,0,C
BACKLANE BET BAGHDAD STREET/MUSCAT STREET,Motor Car,0,C
BACKLANE BET JALAN SULTAN/ALIWAL STREET,Motor Car,0,C
BACKLANE OFF BAGHDAD STREET,Motor Car,0,C
BACKLANE OFF NORTH BRIDGE ROAD,Motor Car,0,C
BAGHDAD STREET,Motor Car,21,C
BAGHDAD STREET OFF STREET,Motor Car,22,C
BALI LANE,Motor Car,6,C
BEACH ROAD,Motor Car,15,C
BUSSORAH STREET,Motor Car,13,C
JALAN KLAPA,Motor Car,16,C
JALAN KLEDEK,Motor Car,8,C
JALAN KLEDEK OFF STREET,Motor Car,6,C
JALAN KUBOR (NORTH BRIDGE RD/VICTORIA ST),Motor Car,15,C
JALAN KUBOR (VICTORIA ST/ROCHOR CANAL RD),Motor Car,30,C
JALAN PINANG,Motor Car,10,C
JALAN PISANG,Motor Car,6,C
JALAN SULTAN,Motor Car,23,C
KANDAHAR STREET,Motor Car,47,C
NORTH BRIDGE ROAD (ARAB/JALAN SULTAN),Motor Car,32,C
NORTH BRIDGE ROAD MARKET OFF STREET,Motor Car,56,C
NORTH BRIDGE ROAD OFF STREET,Motor Car,92,C
PAHANG STREET,Motor Car,26,C
PAHANG STREET OFF STREET,Motor Car,32,C
SERVICE ROAD OFF ALIWAL STREET,Motor Car,7,C
SULTAN GATE,Motor Car,25,C
SULTAN GATE / ALIWAL STREET COACH PARK,Motor Car,0,C
SULTAN GATE / ALIWAL STREET OFF STREET,Motor Car,53,C
231-287 KRANJI ROAD (JTC),Motor Car,90,C
SUNGEI KADUT AVENUE,Motor Car,7,C
SUNGEI KADUT CRESCENT,Motor Car,9,C
SUNGEI KADUT DRIVE,Motor Car,38,C
SUNGEI KADUT LOOP,Motor Car,11,C
SUNGEI KADUT STREET 1,Motor Car,59,C
SUNGEI KADUT STREET 3,Motor Car,22,C
SUNGEI KADUT WAY,Motor Car,56,C
ANN SIANG ROAD,Motor Car,26,C
BACKLANE BET ANN SIANG ROAD/ERSKINE ROAD,Motor Car,0,C
BACKLANE BET CARPENTER /UPPER CIRCULAR ROAD,Motor Car,0,C
BACKLANE BET HONGKONG ST/CARPENTER STREET,Motor Car,0,C
BACKLANE BET JIAK CHUAN RD/TECK LIM ROAD,Motor Car,0,C
BACKLANE BET KEONG SAIK ROAD/NEIL ROAD,Motor Car,0,C
BACKLANE BET KEONG SAIK/NEW BRIDGE ROAD,Motor Car,0,C
BACKLANE BET TEMPLE STREET/PAGODA STREET,Motor Car,0,C
BACKLANE BET TEMPLE STREET/SMITH STREET,Motor Car,0,C
BACKLANE BET UPPER CROSS ST/MOSQUE STREET,Motor Car,0,C
BACKLANE OFF BUKIT PASOH ROAD,Motor Car,0,C
BACKLANE OFF GEMMILL LANE,Motor Car,0,C
BACKLANE OFF KEONG SAIK ROAD,Motor Car,0,C
BACKLANE OFF MOHD ALI LANE/ANN SIANG HILL,Motor Car,0,C
BACKLANE OFF SMITH STREET,Motor Car,0,C
BACKLANE OFF TECK LIM ROAD,Motor Car,0,C
BANDA STREET,Motor Car,11,C
BANDA STREET / SAGO LANE OFF STREET,Motor Car,60,C
BUKIT PASOH ROAD,Motor Car,43,C
CARPENTER STREET,Motor Car,35,C
CARPENTER STREET OFF STREET,Motor Car,69,C
