ura_carpark_name,type_of_lot,number_of_lots
LORONG 21 GEYLANG,Motor Cycle,0
LORONG 21 GEYLANG / GEYLANG ROAD OFF ST,Motor Cycle,0
LORONG 21 GEYLANG OFF STREET,Motor Cycle,14
LORONG 21A GEYLANG,Motor Cycle,0
LORONG 23 GEYLANG,Motor Cycle,0
LORONG 24 GEYLANG,Motor Cycle,0
LORONG 24A GEYLANG,Motor Cycle,0
LORONG 25 GEYLANG,Motor Cycle,0
LORONG 25/25A GEYLANG OFF STREET,Motor Cycle,12
LORONG 25A GEYLANG,Motor Cycle,0
LORONG 26 GEYLANG,Motor Cycle,0
LORONG 27 GEYLANG,Motor Cycle,0
LORONG 27A GEYLANG,Motor Cycle,0
LORONG 28 GEYLANG,Motor Cycle,0
LORONG 28 SERVICE ROAD GEYLANG,Motor Cycle,0
LORONG 29 GEYLANG,Motor Cycle,0
LORONG 3 GEYLANG,Motor Cycle,0
LORONG 30 GEYLANG,Motor Cycle,0
LORONG 31 GEYLANG,Motor Cycle,0
LORONG 31 GEYLANG OFF STREET,Motor Cycle,21
LORONG 32 GEYLANG,Motor Cycle,0
LORONG 33 GEYLANG,Motor Cycle,0
LORONG 34 GEYLANG,Motor Cycle,0
LORONG 35 GEYLANG,Motor Cycle,0
LORONG 36 GEYLANG,Motor Cycle,0
LORONG 36 GEYLANG OFF STREET,Motor Cycle,0
LORONG 37 GEYLANG,Motor Cycle,0
LORONG 37 GEYLANG OFF STREET,Motor Cycle,17
LORONG 38 GEYLANG,Motor Cycle,0
LORONG 39 GEYLANG,Motor Cycle,0
LORONG 39 SERVICE ROAD GEYLANG,Motor Cycle,0
LORONG 4 GEYLANG,Motor Cycle,0
LORONG 40 GEYLANG,Motor Cycle,0
LORONG 41 GEYLANG,Motor Cycle,0
LORONG 6 GEYLANG,Motor Cycle,0
LORONG 7 GEYLANG,Motor Cycle,0
LORONG 8 GEYLANG,Motor Cycle,0
LORONG 9 GEYLANG,Motor Cycle,0
LORONG 9/11 GEYLANG OFF STREET,Motor Cycle,9
LORONG BACHOK,Motor Cycle,0
LORONG BACHOK OFF STREET,Motor Cycle,6
LORONG TAHAR,Motor Cycle,0
SERVICE ROAD OFF LORONG 44 GEYLANG,Motor Cycle,0
SIMS AVENUE (BET LOR 3 GEYLANG/PAYA LEBAR RD),Motor Cycle,0
SIMS AVENUE SERVICE ROAD,Motor Cycle,0
SIMS PLACE,Motor Cycle,0
TALMA ROAD,Motor Cycle,0
TANJONG KATONG COMPLEX,Motor Cycle,72
WESTERHOUT ROAD,Motor Cycle,0
GUL AVENUE,Motor Cycle,0
GUL CIRCLE,Motor Cycle,0
GUL CRESCENT,Motor Cycle,0
GUL DRIVE,Motor Cycle,0
GUL LANE,Motor Cycle,0
GUL ROAD,Motor Cycle,165
GUL STREET 1,Motor Cycle,0
GUL STREET 2,Motor Cycle,0
GUL STREET 3,Motor Cycle,0
GUL STREET 4,Motor Cycle,0
GUL STREET 5,Motor Cycle,0
DELTA CIRCUS FRINGE CAR PARK,Motor Cycle,40
HAVELOCK ROAD,Motor Cycle,15
OUTRAM HILL,Motor Cycle,10
OUTRAM ROAD,Motor Cycle,0
OUTRAM ROAD OFF STREET,Motor Cycle,6
PEARL BANK OFF STREET,Motor Cycle,12
ARMENIAN ST / CANNING RISE OFF ST CAR PARK,Motor Cycle,0
ARMENIAN STREET,Motor Cycle,0
ARMENIAN STREET OFF STREET,Motor Cycle,8
CANNING RISE OFF STREET,Motor Cycle,13
FORT CANNING PARK A OFF STREET,Motor Cycle,5
FORT CANNING PARK B OFF STREET,Motor Cycle,12
FORT CANNING PARK C OFF STREET,Motor Cycle,0
HOLLAND DR/NORTH BOUNA VISTA RD OFF STREET,Motor Cycle,16
HOLLAND DRIVE OFF STREET,Motor Cycle,42
JALAN HITAM MANIS,Motor Cycle,0
JALAN KELABU ASAP,Motor Cycle,0
JALAN KUNING,Motor Cycle,0
JALAN MERAH SAGA,Motor Cycle,0
JALAN PUTEH JERNEH,Motor Cycle,0
JALAN RUMIA,Motor Cycle,0
WARNA ROAD,Motor Cycle,0
WARNA ROAD OFF STREET,Motor Cycle,7
ALIWAL STREET,Motor Cycle,4
ALLENBY ROAD,Motor Cycle,0
BABOO LANE,Motor Cycle,6
BACKLANE BET KELANTAN LANE/KELANTAN ROAD,Motor Cycle,8
BACKLANE BET KITCHENER ROAD/PLUMER ROAD,Motor Cycle,5
BACKLANE BET TOWNSHEND ROAD/JALAN BESAR,Motor Cycle,11
BACKLANE OFF CAVAN ROAD,Motor Cycle,5
BACKLANE OFF JALAN BERSEH,Motor Cycle,19
BEATTY LANE,Motor Cycle,0
CAVAN ROAD,Motor Cycle,0
FOCH ROAD,Motor Cycle,10
HAMILTON ROAD,Motor Cycle,0
HAMILTON ROAD OFF STREET,Motor Cycle,3
HORNE ROAD,Motor Cycle,8
JALAN BERSEH,Motor Cycle,0
JALAN BESAR,Motor Cycle,10
JALAN BESAR SPORTS COMPLEX (SSC),Motor Cycle,30
JELLICOE ROAD,Motor Cycle,0
KALLANG ROAD/CRAWFORD STREET OFF STREET,Motor Cycle,59
KELANTAN LANE,Motor Cycle,34
KELANTAN ROAD,Motor Cycle,5
KING GEORGE'S AVENUE OFF STREET,Motor Cycle,4
KING GEORGE'S AVENUE/ HORNE ROAD OFF STREET,Motor Cycle,18
MAUDE ROAD,Motor Cycle,0
PENHAS ROAD,Motor Cycle,0
PENHAS ROAD / LAVENDER STREET OFF STREET,Motor Cycle,0
PETAIN ROAD (JALAN BESAR / TYRWHITT ROAD),Motor Cycle,0
PLUMER ROAD,Motor Cycle,0
SERVICE ROAD BET HAMILTON RD/CAVAN RD,Motor Cycle,0
SERVICE ROAD BETWEEN PETAIN RD/ALLENBY RD,Motor Cycle,0
SERVICE ROAD OFF KING GEORGE'S AVENUE,Motor Cycle,0
SERVICE ROAD OFF PENHAS ROAD,Motor Cycle,0
SUNGEI ROAD OFF STREET,Motor Cycle,17
SUNGEI ROAD(WELD ROAD/ KELANTAN ROAD),Motor Cycle,0
TOWNSHEND ROAD,Motor Cycle,0
TYRWHITT ROAD,Motor Cycle,0
JOO KOON CIRCLE,Motor Cycle,0
JOO KOON CRESCENT,Motor Cycle,0
JOO KOON ROAD,Motor Cycle,0
JOO KOON WAY,Motor Cycle,0
SCIENCE CENTRE ROAD,Motor Cycle,0
TOH GUAN ROAD,Motor Cycle,0
BOON LAY SWIMMING COMPLEX (SSC),Motor Cycle,12
BULIM AVENUE HVP,Motor Cycle,0
JALAN BAHAR HEAVY VEHICLE PARK,Motor Cycle,0
32 TO 53 KALLANG PLACE (JTC),Motor Cycle,10
ALJUNIED ROAD (MINOR),Motor Cycle,0
BENDEMEER ROAD HEAVY VEHICLE PARK,Motor Cycle,0
GENTING LANE,Motor Cycle,0
GENTING LANE OFF STREET,Motor Cycle,0
GENTING LINK,Motor Cycle,0
GENTING ROAD,Motor Cycle,0
JALAN LEMBAH KALLANG,Motor Cycle,0
KALLANG AVENUE,Motor Cycle,0
KALLANG BAHRU,Motor Cycle,0
KALLANG BASIN SWIMMING COMPLEX (SSC),Motor Cycle,6
KALLANG SECTOR,Motor Cycle,0
KALLANG WAY,Motor Cycle,0
KALLANG WAY 1,Motor Cycle,0
KALLANG WAY 2A,Motor Cycle,0
KEMPAS ROAD,Motor Cycle,17
LORONG BAKAR BATU,Motor Cycle,0
LORONG PENDEK,Motor Cycle,0
SERVICE ROAD OFF GENTING LANE,Motor Cycle,0
SOON WING ROAD,Motor Cycle,0
TANNERY LANE,Motor Cycle,0
KALLANG SPORTS COMPLEX CAR PARK 4(SSC),Motor Cycle,55
KALLANG SPORTS COMPLEX CAR PARK 5(SSC),Motor Cycle,32
KATONG SWIMMING POOL (SSC),Motor Cycle,9
OLD AIRPORT ROAD,Motor Cycle,4
WILKINSON ROAD,Motor Cycle,0
BACKLANE OFF BLAIR RD/ SPOTTISWOODE PARK ROAD,Motor Cycle,8
BLAIR ROAD,Motor Cycle,0
EVERTON ROAD,Motor Cycle,0
HOSPITAL DRIVE CAR PARK B OFF STREET,Motor Cycle,14
KEPPEL ROAD OFF STREET,Motor Cycle,22
SERVICE ROAD OFF EVERTON ROAD,Motor Cycle,0
SPOTTISWOODE PARK ROAD,Motor Cycle,0
ARAB STREET,Motor Cycle,13
BACKLANE BET ARAB STREET/JALAN PINANG,Motor Cycle,10
BACKLANE BET BAGHDAD STREET/MUSCAT STREET,Motor Cycle,19
BACKLANE BET JALAN SULTAN/ALIWAL STREET,Motor Cycle,20
BACKLANE OFF BAGHDAD STREET,Motor Cycle,10
BACKLANE OFF NORTH BRIDGE ROAD,Motor Cycle,5
BAGHDAD STREET,Motor Cycle,0
BAGHDAD STREET OFF STREET,Motor Cycle,7
BALI LANE,Motor Cycle,0
BEACH ROAD,Motor Cycle,0
BUSSORAH STREET,Motor Cycle,0
JALAN KLAPA,Motor Cycle,2
JALAN KLEDEK,Motor Cycle,0
JALAN KLEDEK OFF STREET,Motor Cycle,0
JALAN KUBOR (NORTH BRIDGE RD/VICTORIA ST),Motor Cycle,4
JALAN KUBOR (VICTORIA ST/ROCHOR CANAL RD),Motor Cycle,0
JALAN PINANG,Motor Cycle,0
JALAN PISANG,Motor Cycle,0
JALAN SULTAN,Motor Cycle,0
KANDAHAR STREET,Motor Cycle,3
NORTH BRIDGE ROAD (ARAB/JALAN SULTAN),Motor Cycle,2
NORTH BRIDGE ROAD MARKET OFF STREET,Motor Cycle,7
NORTH BRIDGE ROAD OFF STREET,Motor Cycle,20
PAHANG STREET,Motor Cycle,3
PAHANG STREET OFF STREET,Motor Cycle,0
SERVICE ROAD OFF ALIWAL STREET,Motor Cycle,0
SULTAN GATE,Motor Cycle,0
SULTAN GATE / ALIWAL STREET COACH PARK,Motor Cycle,0
SULTAN GATE / ALIWAL STREET OFF STREET,Motor Cycle,4
231-287 KRANJI ROAD (JTC),Motor Cycle,35
SUNGEI KADUT AVENUE,Motor Cycle,0
SUNGEI KADUT CRESCENT,Motor Cycle,0
SUNGEI KADUT DRIVE,Motor Cycle,0
SUNGEI KADUT LOOP,Motor Cycle,0
SUNGEI KADUT STREET 1,Motor Cycle,0
SUNGEI KADUT STREET 3,Motor Cycle,0
SUNGEI KADUT WAY,Motor Cycle,0
ANN SIANG ROAD,Motor Cycle,0
BACKLANE BET ANN SIANG ROAD/ERSKINE ROAD,Motor Cycle,21
BACKLANE BET CARPENTER /UPPER CIRCULAR ROAD,Motor Cycle,9
BACKLANE BET HONGKONG ST/CARPENTER STREET,Motor Cycle,7
BACKLANE BET JIAK CHUAN RD/TECK LIM ROAD,Motor Cycle,7
BACKLANE BET KEONG SAIK ROAD/NEIL ROAD,Motor Cycle,8
BACKLANE BET KEONG SAIK/NEW BRIDGE ROAD,Motor Cycle,5
BACKLANE BET TEMPLE STREET/PAGODA STREET,Motor Cycle,10
BACKLANE BET TEMPLE STREET/SMITH STREET,Motor Cycle,13
BACKLANE BET UPPER CROSS ST/MOSQUE STREET,Motor Cycle,20
BACKLANE OFF BUKIT PASOH ROAD,Motor Cycle,12
BACKLANE OFF GEMMILL LANE,Motor Cycle,6
BACKLANE OFF KEONG SAIK ROAD,Motor Cycle,7
BACKLANE OFF MOHD ALI LANE/ANN SIANG HILL,Motor Cycle,6
BACKLANE OFF SMITH STREET,Motor Cycle,15
BACKLANE OFF TECK LIM ROAD,Motor Cycle,12
BANDA STREET,Motor Cycle,0
BANDA STREET / SAGO LANE OFF STREET,Motor Cycle,5
BUKIT PASOH ROAD,Motor Cycle,0
CARPENTER STREET,Motor Cycle,0
CARPENTER STREET OFF STREET,Motor Cycle,9
CLUB STREET,Motor Cycle,7
CLUB STREET OFF STREET,Motor Cycle,5
DUXTON HILL OFF STREET,Motor Cycle,0
GEMMILL LANE,Motor Cycle,0
HONG KONG STREET,Motor Cycle,0
HONG LIM PARK OFF STREET,Motor Cycle,6
JIAK CHUAN ROAD,Motor Cycle,0
KEONG SAIK ROAD,Motor Cycle,6
MND COMPLEX (BASEMENT),Motor Cycle,70
MND COMPLEX (SURFACE),Motor Cycle,44
MOSQUE STREET,Motor Cycle,4
NEIL ROAD,Motor Cycle,0
NEIL ROAD OFF STREET,Motor Cycle,0
NEW MARKET ROAD,Motor Cycle,22
NORTH CANAL ROAD,Motor Cycle,0
TECK LIM ROAD,Motor Cycle,0
TEMPLE STREET,Motor Cycle,0
TEO HONG ROAD,Motor Cycle,0
TEO HONG ROAD / NEW BRIDGE ROAD OFF STREET,Motor Cycle,0
UPPER CIRCULAR ROAD,Motor Cycle,0
UPPER HOKKIEN STREET,Motor Cycle,15
FIFTH LOK YANG ROAD,Motor Cycle,0
FIRST LOK YANG ROAD,Motor Cycle,0
FOURTH LOK YANG ROAD,Motor Cycle,0
LOK YANG WAY,Motor Cycle,0
NEYTHAL ROAD,Motor Cycle,0
SECOND LOK YANG ROAD,Motor Cycle,0
SIXTH LOK YANG ROAD,Motor Cycle,0
THIRD LOK YANG ROAD,Motor Cycle,0
LOYANG CRESCENT,Motor Cycle,0
BURN ROAD,Motor Cycle,0
CIRCUIT ROAD,Motor Cycle,18
HAPPY AVENUE NORTH,Motor Cycle,0
HARRISON ROAD,Motor Cycle,0
HARVEY ROAD,Motor Cycle,0
HOWARD ROAD,Motor Cycle,0
IRVING PLACE,Motor Cycle,0
IRVING ROAD,Motor Cycle,0
JALAN ANGGEREK,Motor Cycle,0
JALAN MESIN,Motor Cycle,0
JOO SENG ROAD,Motor Cycle,0
KAMPONG AMPAT,Motor Cycle,0
LITTLE ROAD,Motor Cycle,0
MACPHERSON ROAD,Motor Cycle,0
MACTAGGART ROAD,Motor Cycle,0
PHENG GECK AVENUE,Motor Cycle,0
PUAY HEE AVENUE,Motor Cycle,0
SERVICE ROAD OFF MACPHERSON ROAD,Motor Cycle,0
SHAW ROAD,Motor Cycle,0
SIAK KEW AVENUE,Motor Cycle,0
SIANG KUANG AVENUE,Motor Cycle,0
TAI THONG CRESCENT,Motor Cycle,0
UPPER ALJUNIED LINK OFF-ST,Motor Cycle,0
UPPER PAYA LEBAR ROAD SERVICE ROAD,Motor Cycle,0
BAYFRONT AVENUE OFF STREET,Motor Cycle,176
DEVONSHIRE ROAD,Motor Cycle,0
DUBLIN ROAD,Motor Cycle,0
EMERALD HILL ROAD,Motor Cycle,0
EMERALD LINK,Motor Cycle,14
GRANGE ROAD / SOMERSET ROAD OFF STREET,Motor Cycle,66
HULLET ROAD,Motor Cycle,0
HULLET ROAD OFF STREET,Motor Cycle,0
KILLINEY ROAD,Motor Cycle,0
LLOYD ROAD,Motor Cycle,0
PENANG LANE,Motor Cycle,18
PENANG ROAD OFF STREET,Motor Cycle,0
SAUNDERS ROAD,Motor Cycle,0
PANDAN AVENUE,Motor Cycle,0
PANDAN CRESCENT,Motor Cycle,0
PANDAN GARDENS,Motor Cycle,0
PANDAN LOOP,Motor Cycle,0
PANDAN ROAD,Motor Cycle,0
TEBAN GARDENS CRESCENT,Motor Cycle,0
CLEMENTI STADIUM (SSC),Motor Cycle,12
JALAN MAS KUNING,Motor Cycle,0
JALAN MAS PUTEH,Motor Cycle,15
JALAN PELEPAH OFF STREET,Motor Cycle,8
NEO PEE TECK LANE,Motor Cycle,0
PASIR PANJANG FOOD CENTRE (TEMP) OFF ST,Motor Cycle,16
PASIR PANJANG FOOD CENTRE OFF STREET,Motor Cycle,17
PASIR PANJANG ROAD,Motor Cycle,0
PASIR PANJANG ROAD / LABRADOR VILLA ROAD,Motor Cycle,4
PASIR PANJANG ROAD / SOUTH BUONA VISTA ROAD,Motor Cycle,16
PASIR PANJANG ROAD OFF STREET,Motor Cycle,0
PASIR PANJANG ROAD/ CLEMENTI ROAD OFF ST,Motor Cycle,3
PEPYS ROAD OFF STREET,Motor Cycle,0
TAMAN MAS MERAH,Motor Cycle,0
WEST COAST PARK 1 OFF STREET,Motor Cycle,10
WISHART ROAD,Motor Cycle,0
LOYANG DRIVE,Motor Cycle,32
LOYANG LANE,Motor Cycle,0
LOYANG STREET,Motor Cycle,0
LOYANG WAY,Motor Cycle,17
LOYANG WAY 1,Motor Cycle,0
PASIR RIS CLOSE OFF STREET,Motor Cycle,64
PASIR RIS DRIVE 1 HEAVY VEHICLE PARK,Motor Cycle,0
PASIR RIS PARK CAR PARK E OFF STREET,Motor Cycle,10
TAMPINES INDUSTRIAL AVENUE 3,Motor Cycle,10
PENJURU CLOSE,Motor Cycle,0
TANJONG PENJURU CRESCENT,Motor Cycle,0
JALAN SAMULUN OFF STREET (JTC),Motor Cycle,10
PIONEER SECTOR 1,Motor Cycle,0
PIONEER SECTOR 2,Motor Cycle,34
PIONEER SECTOR 3,Motor Cycle,0
PIONEER SECTOR WALK,Motor Cycle,0
SERVICE ROAD OFF TEBING LANE,Motor Cycle,0
TEBING LANE,Motor Cycle,0
CHANG CHARN ROAD,Motor Cycle,0
HOY FATT ROAD,Motor Cycle,0
JALAN PENJARA,Motor Cycle,0
JALAN PENJARA OFF STREET,Motor Cycle,0
KUNG CHONG ROAD,Motor Cycle,10
LENG KEE ROAD,Motor Cycle,0
MARGARET DRIVE OFF STREET,Motor Cycle,13
QUEEN'S CRESCENT HEAVY VEHICLE PARK,Motor Cycle,0
QUEENSTOWN SPORTS COMPLEX (SSC),Motor Cycle,0
QUEENSWAY OFF STREET ( RIDEOUT TEA GARDEN),Motor Cycle,15
TANGLIN HALT CLOSE,Motor Cycle,0
CLEMENCEAU AVENUE OFF STREET,Motor Cycle,5
KELLOCK ROAD,Motor Cycle,0
KIM YAM ROAD,Motor Cycle,0
MARTIN PLACE/ MUTHURAMAN CHETTY ROAD,Motor Cycle,5
MOHAMED SULTAN ROAD,Motor Cycle,24
MOHD SULTAN ROAD/RIVER VALLEY ROAD OFF STREET,Motor Cycle,0
RIVER VALLEY ROAD(BET TANK RD/ZION RD),Motor Cycle,0
SERVICE ROAD OFF ZION ROAD,Motor Cycle,0
TAN TYE PLACE,Motor Cycle,0
TANK ROAD,Motor Cycle,12
UNITY STREET,Motor Cycle,0
ZION CLOSE,Motor Cycle,0
ZION ROAD,Motor Cycle,0
ZION ROAD OFF STREET,Motor Cycle,0
BACKLANE BET MIDDLE ROAD/LIANG SEAH STREET,Motor Cycle,16
BACKLANE OFF PURVIS STREET,Motor Cycle,9
BACKLANE OFF SEAH STREET,Motor Cycle,3
CHENG YAN PLACE,Motor Cycle,15
LIANG SEAH STREET,Motor Cycle,10
LIANG SEAH STREET OFF STREET,Motor Cycle,8
MACKENZIE ROAD,Motor Cycle,3
MACKENZIE ROAD A OFF STREET,Motor Cycle,5
MACKENZIE ROAD B OFF STREET,Motor Cycle,33
MACKENZIE ROAD C OFF STREET,Motor Cycle,0
MANILA STREET,Motor Cycle,11
MAYNE ROAD,Motor Cycle,0
MIDDLE ROAD OFF STREET,Motor Cycle,2
MOUNT EMILY ROAD,Motor Cycle,3
NIVEN ROAD,Motor Cycle,5
PRINSEP STREET (MIDDLE/ROCHOR CANAL),Motor Cycle,26
PURVIS STREET,Motor Cycle,6
QUEEN STREET,Motor Cycle,32
QUEEN STREET (ARAB STREET / ROCHOR ROAD),Motor Cycle,12
QUEEN STREET / ROCHOR ROAD OFF STREET,Motor Cycle,47
QUEEN STREET OFF STREET,Motor Cycle,19
SEAH STREET,Motor Cycle,4
SERVICE ROAD OFF QUEEN ST(QUEEN/WATERLOO ST),Motor Cycle,0
SHORT STREET,Motor Cycle,0
SOPHIA ROAD,Motor Cycle,6
TAN QUEE LAN STREET,Motor Cycle,19
WATERLOO STREET,Motor Cycle,5
WILKIE ROAD,Motor Cycle,12
JALAN DERUM,Motor Cycle,0
JALAN LEGUNDI,Motor Cycle,0
JALAN TAMPANG,Motor Cycle,17
SEMBAWANG DRIVE HEAVY VEHICLE PARK,Motor Cycle,0
SEMBAWANG RD/ADMIRALTY RD EAST OFF STREET,Motor Cycle,15
SEMBAWANG ROAD OFF STREET,Motor Cycle,12
SEMBONG ROAD,Motor Cycle,0
SENOKO AVENUE,Motor Cycle,0
SENOKO DRIVE,Motor Cycle,0
SENOKO ROAD,Motor Cycle,0
SENOKO SOUTH ROAD,Motor Cycle,0
SENOKO WAY,Motor Cycle,0
SERVICE ROAD OFF SEMBAWANG ROAD,Motor Cycle,13
SENGKANG EAST AND WEST WAY,Motor Cycle,0
BACKLANE BET CLIVE STREET/MADRAS STREET,Motor Cycle,11
BACKLANE BET CUFF ROAD /VEERASAMY ROAD,Motor Cycle,11
BACKLANE BET DICKSON ROAD/DUNLOP STREET,Motor Cycle,6
BACKLANE BET DICKSON ROAD/UPPER WELD ROAD,Motor Cycle,5
BACKLANE BET HINDOO ROAD/ROWELL ROAD,Motor Cycle,4
BACKLANE BET KAMPONG KAPOR/UPPER DICKSON RD,Motor Cycle,10
BACKLANE BET MAYO STREET/DUNLOP STREET,Motor Cycle,5
BACKLANE BET PERAK ROAD/MADRAS STREET,Motor Cycle,5
BACKLANE OFF DESKER ROAD,Motor Cycle,6
BACKLANE OFF ROWELL ROAD,Motor Cycle,10
BACKLANE OFF SAM LEONG ROAD,Motor Cycle,13
BACKLANE OFF SAM LEONG ROAD/JALAN BESAR,Motor Cycle,3
BACKLANE OFF STURDEE ROAD,Motor Cycle,11
BEATTY ROAD,Motor Cycle,0
BEATTY ROAD OFF STREET,Motor Cycle,4
BELILIOS LANE OFF STREET,Motor Cycle,0
BENG WAN ROAD OFF STREET,Motor Cycle,0
BIRCH ROAD,Motor Cycle,0
BUFFALO ROAD SERVICE ROAD,Motor Cycle,0
CAMPBELL LANE,Motor Cycle,0
CHANDER ROAD,Motor Cycle,0
CLIVE STREET,Motor Cycle,0
CUFF ROAD,Motor Cycle,0
DALHOUSIE LANE,Motor Cycle,0
DESKER ROAD,Motor Cycle,0
DICKSON ROAD,Motor Cycle,0
DICKSON ROAD OFF STREET,Motor Cycle,6
DUNLOP STREET,Motor Cycle,0
FARRER PARK SQUASH & TENNIS CENTRE (SSC),Motor Cycle,25
FLANDERS SQUARE,Motor Cycle,0
HINDOO ROAD,Motor Cycle,7
HINDOO ROAD OFF STREET,Motor Cycle,0
HINDOO ROAD/KAMPONG KAPOR ROAD OFF STREET,Motor Cycle,0
JALAN BESAR / BEATTY ROAD OFF STREET,Motor Cycle,5
JALAN SEMERBAK,Motor Cycle,0
JOO AVENUE,Motor Cycle,0
KAMPONG KAPOR ROAD,Motor Cycle,10
KAMPONG KAPOR ROAD OFF STREET,Motor Cycle,12
KERBAU ROAD,Motor Cycle,0
KINTA ROAD,Motor Cycle,0
KINTA ROAD OFF STREET,Motor Cycle,11
KITCHENER ROAD,Motor Cycle,0
LEMBU ROAD,Motor Cycle,0
MAYO STREET,Motor Cycle,0
MOONSTONE LANE,Motor Cycle,0
NORRIS ROAD,Motor Cycle,0
OPAL CRESCENT,Motor Cycle,0
OWEN ROAD (SERANGOON/ RACE COURSE ROAD),Motor Cycle,0
OWEN ROAD/ DORSET ROAD / CAMBRIDGE ROAD,Motor Cycle,10
PERAK ROAD,Motor Cycle,0
PERUMAL ROAD,Motor Cycle,0
PETAIN ROAD (SERANGOON ROAD / JALAN BESAR),Motor Cycle,0
PETAIN ROAD OFF STREET,Motor Cycle,0
RACE COURSE LANE,Motor Cycle,0
RACE COURSE ROAD,Motor Cycle,0
RACE COURSE ROAD (BET BT TIMAH / RANGOON RD),Motor Cycle,0
RACE COURSE ROAD / NORTHUMBERLAND ROAD,Motor Cycle,19
RANGOON LANE,Motor Cycle,0
RANGOON LANE OFF STREET,Motor Cycle,0
RANGOON ROAD,Motor Cycle,0
ROBERTS LANE,Motor Cycle,0
ROWELL ROAD,Motor Cycle,0
RUBY LANE,Motor Cycle,0
SAM LEONG ROAD,Motor Cycle,8
SERANGOON RD(KITCHENER RD/LAVENDER ST),Motor Cycle,0
SERVICE ROAD OFF JALAN KELULUT,Motor Cycle,5
SING AVENUE,Motor Cycle,0
SING JOO WALK,Motor Cycle,0
SOMME ROAD,Motor Cycle,0
ST WILFRID SPORTS COMPLEX (SSC),Motor Cycle,5
STARLIGHT ROAD / TERRACE,Motor Cycle,0
STURDEE ROAD,Motor Cycle,0
SYED ALWI ROAD (JALAN BESAR / SERANGOON RD),Motor Cycle,17
SYED ALWI ROAD(JALAN BESAR/ROCHOR CANAL RD),Motor Cycle,0
TESSENSOHN ROAD,Motor Cycle,0
UPPER DICKSON ROAD,Motor Cycle,0
UPPER WELD ROAD,Motor Cycle,0
VEERASAMY ROAD,Motor Cycle,0
VERDUN ROAD,Motor Cycle,0
VERDUN ROAD OFF STREET,Motor Cycle,2
BACKLANE BET BOON TAT STREET/MCCALLUM STREET,Motor Cycle,60
BACKLANE BET CECIL STREET/MARKET STREET,Motor Cycle,20
MARINA VIEW OFF STREET,Motor Cycle,10
PALMER ROAD,Motor Cycle,22
PALMER ROAD OFF STREET,Motor Cycle,5
PRINCE EDWARD ROAD / SHENTON WAY OFF STREET,Motor Cycle,14
JURONG OUTDOOR FUTSAL CENTRE (SSC),Motor Cycle,15
JURONG STADIUM (SSC),Motor Cycle,34
CHANGI SOUTH LANE,Motor Cycle,0
TAMPINES AVENUE 9/ AVENUE 10 HV PARK,Motor Cycle,0
ANGULLIA PARK OFF STREET,Motor Cycle,83
CLAYMORE HILL,Motor Cycle,25
CLAYMORE ROAD,Motor Cycle,42
BACKLANE BET CRAIG ROAD/DUXTON ROAD,Motor Cycle,22
BACKLANE BET PECK SEAH STREET/TRAS STREET,Motor Cycle,18
BACKLANE BET TRAS STREET/COOK STREET,Motor Cycle,18
BACKLANE OFF COOK STREET,Motor Cycle,9
BERNAM STREET,Motor Cycle,0
COOK STREET,Motor Cycle,0
DUXTON HILL,Motor Cycle,8
DUXTON ROAD,Motor Cycle,0
ENGGOR STREET,Motor Cycle,4
PECK SEAH STREET,Motor Cycle,11
PECK SEAH STREET OFF STREET,Motor Cycle,30
TANJONG PAGAR ROAD,Motor Cycle,0
TRAS STREET,Motor Cycle,11
WALLICH STREET,Motor Cycle,0
YAN KIT ROAD,Motor Cycle,0
YAN KIT ROAD / CANTONMENT ROAD OFF ST,Motor Cycle,8
AMOY STREET,Motor Cycle,10
AMOY STREET OFF STREET,Motor Cycle,0
BACKLANE BET BOON TAT STREET/AMOY STREET,Motor Cycle,16
BACKLANE OFF AMOY STREET,Motor Cycle,8
