ura_carpark_name,type_of_lot,number_of_lots
HOSPITAL DRIVE CAR PARK B OFF STREET,Heavy Vehicle,0
KEPPEL ROAD OFF STREET,Heavy Vehicle,0
SERVICE ROAD OFF EVERTON ROAD,Heavy Vehicle,0
SPOTTISWOODE PARK ROAD,Heavy Vehicle,0
ARAB STREET,Heavy Vehicle,0
BACKLANE BET ARAB STREET/JALAN PINANG,Heavy Vehicle,0
BACKLANE BET BAGHDAD STREET/MUSCAT STREET,Heavy Vehicle,0
SANDOWN PLACE,Heavy Vehicle,0
BACKLANE BET JALAN SULTAN/ALIWAL STREET,Heavy Vehicle,0
BACKLANE OFF BAGHDAD STREET,Heavy Vehicle,0
BACKLANE OFF NORTH BRIDGE ROAD,Heavy Vehicle,0
BAGHDAD STREET,Heavy Vehicle,0
BAGHDAD STREET OFF STREET,Heavy Vehicle,0
BALI LANE,Heavy Vehicle,0
BEACH ROAD,Heavy Vehicle,0
BUSSORAH STREET,Heavy Vehicle,0
JALAN KLAPA,Heavy Vehicle,0
JALAN KLEDEK,Heavy Vehicle,0
JALAN KLEDEK OFF STREET,Heavy Vehicle,0
JALAN KUBOR (NORTH BRIDGE RD/VICTORIA ST),Heavy Vehicle,0
JALAN KUBOR (VICTORIA ST/ROCHOR CANAL RD),Heavy Vehicle,4
JALAN PINANG,Heavy Vehicle,0
JALAN PISANG,Heavy Vehicle,0
JALAN SULTAN,Heavy Vehicle,0
KANDAHAR STREET,Heavy Vehicle,0
NORTH BRIDGE ROAD (ARAB/JALAN SULTAN),Heavy Vehicle,0
NORTH BRIDGE ROAD MARKET OFF STREET,Heavy Vehicle,9
NORTH BRIDGE ROAD OFF STREET,Heavy Vehicle,0
PAHANG STREET,Heavy Vehicle,0
PAHANG STREET OFF STREET,Heavy Vehicle,0
SERVICE ROAD OFF ALIWAL STREET,Heavy Vehicle,0
SULTAN GATE,Heavy Vehicle,0
SULTAN GATE / ALIWAL STREET COACH PARK,Heavy Vehicle,4
SULTAN GATE / ALIWAL STREET OFF STREET,Heavy Vehicle,0
231-287 KRANJI ROAD (JTC),Heavy Vehicle,2
SUNGEI KADUT AVENUE,Heavy Vehicle,0
SUNGEI KADUT CRESCENT,Heavy Vehicle,0
SUNGEI KADUT DRIVE,Heavy Vehicle,0
SUNGEI KADUT LOOP,Heavy Vehicle,0
SUNGEI KADUT STREET 1,Heavy Vehicle,9
SUNGEI KADUT STREET 3,Heavy Vehicle,0
SUNGEI KADUT WAY,Heavy Vehicle,0
ANN SIANG ROAD,Heavy Vehicle,0
BACKLANE BET ANN SIANG ROAD/ERSKINE ROAD,Heavy Vehicle,0
BACKLANE BET CARPENTER /UPPER CIRCULAR ROAD,Heavy Vehicle,0
BACKLANE BET HONGKONG ST/CARPENTER STREET,Heavy Vehicle,0
BACKLANE BET JIAK CHUAN RD/TECK LIM ROAD,Heavy Vehicle,0
BACKLANE BET KEONG SAIK ROAD/NEIL ROAD,Heavy Vehicle,0
BACKLANE BET KEONG SAIK/NEW BRIDGE ROAD,Heavy Vehicle,0
BACKLANE BET TEMPLE STREET/PAGODA STREET,Heavy Vehicle,0
BACKLANE BET TEMPLE STREET/SMITH STREET,Heavy Vehicle,0
BACKLANE BET UPPER CROSS ST/MOSQUE STREET,Heavy Vehicle,0
BACKLANE OFF BUKIT PASOH ROAD,Heavy Vehicle,0
BACKLANE OFF GEMMILL LANE,Heavy Vehicle,0
BACKLANE OFF KEONG SAIK ROAD,Heavy Vehicle,0
BACKLANE OFF MOHD ALI LANE/ANN SIANG HILL,Heavy Vehicle,0
BACKLANE OFF SMITH STREET,Heavy Vehicle,0
BACKLANE OFF TECK LIM ROAD,Heavy Vehicle,0
BANDA STREET,Heavy Vehicle,0
BANDA STREET / SAGO LANE OFF STREET,Heavy Vehicle,5
BUKIT PASOH ROAD,Heavy Vehicle,0
CARPENTER STREET,Heavy Vehicle,0
CARPENTER STREET OFF STREET,Heavy Vehicle,0
CLUB STREET,Heavy Vehicle,0
CLUB STREET OFF STREET,Heavy Vehicle,0
DUXTON HILL OFF STREET,Heavy Vehicle,0
GEMMILL LANE,Heavy Vehicle,0
HONG KONG STREET,Heavy Vehicle,7
HONG LIM PARK OFF STREET,Heavy Vehicle,0
JIAK CHUAN ROAD,Heavy Vehicle,0
KEONG SAIK ROAD,Heavy Vehicle,0
MND COMPLEX (BASEMENT),Heavy Vehicle,0
MND COMPLEX (SURFACE),Heavy Vehicle,0
MOSQUE STREET,Heavy Vehicle,1
NEIL ROAD,Heavy Vehicle,0
NEIL ROAD OFF STREET,Heavy Vehicle,0
NEW MARKET ROAD,Heavy Vehicle,0
NORTH CANAL ROAD,Heavy Vehicle,0
TECK LIM ROAD,Heavy Vehicle,0
TEMPLE STREET,Heavy Vehicle,0
TEO HONG ROAD,Heavy Vehicle,0
TEO HONG ROAD / NEW BRIDGE ROAD OFF STREET,Heavy Vehicle,0
UPPER CIRCULAR ROAD,Heavy Vehicle,0
UPPER HOKKIEN STREET,Heavy Vehicle,0
FIFTH LOK YANG ROAD,Heavy Vehicle,0
FIRST LOK YANG ROAD,Heavy Vehicle,0
FOURTH LOK YANG ROAD,Heavy Vehicle,0
LOK YANG WAY,Heavy Vehicle,0
NEYTHAL ROAD,Heavy Vehicle,0
SECOND LOK YANG ROAD,Heavy Vehicle,0
SIXTH LOK YANG ROAD,Heavy Vehicle,0
THIRD LOK YANG ROAD,Heavy Vehicle,0
LOYANG CRESCENT,Heavy Vehicle,0
BURN ROAD,Heavy Vehicle,0
CIRCUIT ROAD,Heavy Vehicle,0
HAPPY AVENUE NORTH,Heavy Vehicle,0
HARRISON ROAD,Heavy Vehicle,0
HARVEY ROAD,Heavy Vehicle,0
HOWARD ROAD,Heavy Vehicle,0
IRVING PLACE,Heavy Vehicle,0
IRVING ROAD,Heavy Vehicle,0
JALAN ANGGEREK,Heavy Vehicle,0
JALAN MESIN,Heavy Vehicle,0
JOO SENG ROAD,Heavy Vehicle,0
KAMPONG AMPAT,Heavy Vehicle,0
LITTLE ROAD,Heavy Vehicle,0
MACPHERSON ROAD,Heavy Vehicle,0
MACTAGGART ROAD,Heavy Vehicle,0
PHENG GECK AVENUE,Heavy Vehicle,0
PUAY HEE AVENUE,Heavy Vehicle,0
SERVICE ROAD OFF MACPHERSON ROAD,Heavy Vehicle,0
SHAW ROAD,Heavy Vehicle,0
SIAK KEW AVENUE,Heavy Vehicle,0
SIANG KUANG AVENUE,Heavy Vehicle,0
TAI THONG CRESCENT,Heavy Vehicle,0
UPPER ALJUNIED LINK OFF-ST,Heavy Vehicle,0
UPPER PAYA LEBAR ROAD SERVICE ROAD,Heavy Vehicle,0
BAYFRONT AVENUE OFF STREET,Heavy Vehicle,10
DEVONSHIRE ROAD,Heavy Vehicle,0
DUBLIN ROAD,Heavy Vehicle,0
EMERALD HILL ROAD,Heavy Vehicle,0
EMERALD LINK,Heavy Vehicle,0
GRANGE ROAD / SOMERSET ROAD OFF STREET,Heavy Vehicle,0
HULLET ROAD,Heavy Vehicle,0
HULLET ROAD OFF STREET,Heavy Vehicle,0
KILLINEY ROAD,Heavy Vehicle,0
LLOYD ROAD,Heavy Vehicle,0
PENANG LANE,Heavy Vehicle,0
PENANG ROAD OFF STREET,Heavy Vehicle,0
SAUNDERS ROAD,Heavy Vehicle,0
PANDAN AVENUE,Heavy Vehicle,0
PANDAN CRESCENT,Heavy Vehicle,0
PANDAN GARDENS,Heavy Vehicle,22
PANDAN LOOP,Heavy Vehicle,0
PANDAN ROAD,Heavy Vehicle,0
TEBAN GARDENS CRESCENT,Heavy Vehicle,0
CLEMENTI STADIUM (SSC),Heavy Vehicle,0
JALAN MAS KUNING,Heavy Vehicle,0
JALAN MAS PUTEH,Heavy Vehicle,0
JALAN PELEPAH OFF STREET,Heavy Vehicle,0
NEO PEE TECK LANE,Heavy Vehicle,0
PASIR PANJANG FOOD CENTRE (TEMP) OFF ST,Heavy Vehicle,0
PASIR PANJANG FOOD CENTRE OFF STREET,Heavy Vehicle,0
PASIR PANJANG ROAD,Heavy Vehicle,0
PASIR PANJANG ROAD / LABRADOR VILLA ROAD,Heavy Vehicle,9
PASIR PANJANG ROAD / SOUTH BUONA VISTA ROAD,Heavy Vehicle,0
PASIR PANJANG ROAD OFF STREET,Heavy Vehicle,0
PASIR PANJANG ROAD/ CLEMENTI ROAD OFF ST,Heavy Vehicle,0
PEPYS ROAD OFF STREET,Heavy Vehicle,0
TAMAN MAS MERAH,Heavy Vehicle,0
WEST COAST PARK 1 OFF STREET,Heavy Vehicle,12
WISHART ROAD,Heavy Vehicle,0
LOYANG DRIVE,Heavy Vehicle,0
LOYANG LANE,Heavy Vehicle,0
LOYANG STREET,Heavy Vehicle,0
LOYANG WAY,Heavy Vehicle,0
LOYANG WAY 1,Heavy Vehicle,0
PASIR RIS CLOSE OFF STREET,Heavy Vehicle,0
PASIR RIS DRIVE 1 HEAVY VEHICLE PARK,Heavy Vehicle,310
PASIR RIS PARK CAR PARK E OFF STREET,Heavy Vehicle,0
TAMPINES INDUSTRIAL AVENUE 3,Heavy Vehicle,10
PENJURU CLOSE,Heavy Vehicle,0
TANJONG PENJURU CRESCENT,Heavy Vehicle,0
JALAN SAMULUN OFF STREET (JTC),Heavy Vehicle,4
PIONEER SECTOR 1,Heavy Vehicle,0
PIONEER SECTOR 2,Heavy Vehicle,3
PIONEER SECTOR 3,Heavy Vehicle,0
PIONEER SECTOR WALK,Heavy Vehicle,0
SERVICE ROAD OFF TEBING LANE,Heavy Vehicle,0
TEBING LANE,Heavy Vehicle,0
CHANG CHARN ROAD,Heavy Vehicle,0
HOY FATT ROAD,Heavy Vehicle,0
JALAN PENJARA,Heavy Vehicle,0
JALAN PENJARA OFF STREET,Heavy Vehicle,0
KUNG CHONG ROAD,Heavy Vehicle,0
LENG KEE ROAD,Heavy Vehicle,0
MARGARET DRIVE OFF STREET,Heavy Vehicle,0
QUEEN'S CRESCENT HEAVY VEHICLE PARK,Heavy Vehicle,70
QUEENSTOWN SPORTS COMPLEX (SSC),Heavy Vehicle,0
QUEENSWAY OFF STREET ( RIDEOUT TEA GARDEN),Heavy Vehicle,0
TANGLIN HALT CLOSE,Heavy Vehicle,0
CLEMENCEAU AVENUE OFF STREET,Heavy Vehicle,0
KELLOCK ROAD,Heavy Vehicle,0
KIM YAM ROAD,Heavy Vehicle,0
MARTIN PLACE/ MUTHURAMAN CHETTY ROAD,Heavy Vehicle,0
MOHAMED SULTAN ROAD,Heavy Vehicle,1
MOHD SULTAN ROAD/RIVER VALLEY ROAD OFF STREET,Heavy Vehicle,0
RIVER VALLEY ROAD(BET TANK RD/ZION RD),Heavy Vehicle,0
SERVICE ROAD OFF ZION ROAD,Heavy Vehicle,0
TAN TYE PLACE,Heavy Vehicle,2
TANK ROAD,Heavy Vehicle,0
UNITY STREET,Heavy Vehicle,1
ZION CLOSE,Heavy Vehicle,0
ZION ROAD,Heavy Vehicle,0
ZION ROAD OFF STREET,Heavy Vehicle,0
BACKLANE BET MIDDLE ROAD/LIANG SEAH STREET,Heavy Vehicle,0
BACKLANE OFF PURVIS STREET,Heavy Vehicle,0
BACKLANE OFF SEAH STREET,Heavy Vehicle,0
CHENG YAN PLACE,Heavy Vehicle,3
LIANG SEAH STREET,Heavy Vehicle,0
LIANG SEAH STREET OFF STREET,Heavy Vehicle,0
MACKENZIE ROAD,Heavy Vehicle,0
MACKENZIE ROAD A OFF STREET,Heavy Vehicle,0
MACKENZIE ROAD B OFF STREET,Heavy Vehicle,76
MACKENZIE ROAD C OFF STREET,Heavy Vehicle,0
MANILA STREET,Heavy Vehicle,0
MAYNE ROAD,Heavy Vehicle,0
MIDDLE ROAD OFF STREET,Heavy Vehicle,0
MOUNT EMILY ROAD,Heavy Vehicle,0
NIVEN ROAD,Heavy Vehicle,0
PRINSEP STREET (MIDDLE/ROCHOR CANAL),Heavy Vehicle,5
PURVIS STREET,Heavy Vehicle,0
QUEEN STREET,Heavy Vehicle,0
QUEEN STREET (ARAB STREET / ROCHOR ROAD),Heavy Vehicle,0
QUEEN STREET / ROCHOR ROAD OFF STREET,Heavy Vehicle,0
QUEEN STREET OFF STREET,Heavy Vehicle,0
SEAH STREET,Heavy Vehicle,0
SERVICE ROAD OFF QUEEN ST(QUEEN/WATERLOO ST),Heavy Vehicle,2
SHORT STREET,Heavy Vehicle,0
SOPHIA ROAD,Heavy Vehicle,0
TAN QUEE LAN STREET,Heavy Vehicle,0
WATERLOO STREET,Heavy Vehicle,0
WILKIE ROAD,Heavy Vehicle,0
JALAN DERUM,Heavy Vehicle,0
JALAN LEGUNDI,Heavy Vehicle,0
JALAN TAMPANG,Heavy Vehicle,0
SEMBAWANG DRIVE HEAVY VEHICLE PARK,Heavy Vehicle,127
SEMBAWANG RD/ADMIRALTY RD EAST OFF STREET,Heavy Vehicle,0
SEMBAWANG ROAD OFF STREET,Heavy Vehicle,0
SEMBONG ROAD,Heavy Vehicle,0
SENOKO AVENUE,Heavy Vehicle,0
SENOKO DRIVE,Heavy Vehicle,0
SENOKO ROAD,Heavy Vehicle,0
SENOKO SOUTH ROAD,Heavy Vehicle,0
SENOKO WAY,Heavy Vehicle,0
SERVICE ROAD OFF SEMBAWANG ROAD,Heavy Vehicle,0
SENGKANG EAST AND WEST WAY,Heavy Vehicle,75
BACKLANE BET CLIVE STREET/MADRAS STREET,Heavy Vehicle,0
BACKLANE BET CUFF ROAD /VEERASAMY ROAD,Heavy Vehicle,0
BACKLANE BET DICKSON ROAD/DUNLOP STREET,Heavy Vehicle,0
BACKLANE BET DICKSON ROAD/UPPER WELD ROAD,Heavy Vehicle,0
BACKLANE BET HINDOO ROAD/ROWELL ROAD,Heavy Vehicle,0
BACKLANE BET KAMPONG KAPOR/UPPER DICKSON RD,Heavy Vehicle,0
BACKLANE BET MAYO STREET/DUNLOP STREET,Heavy Vehicle,0
BACKLANE BET PERAK ROAD/MADRAS STREET,Heavy Vehicle,0
BACKLANE OFF DESKER ROAD,Heavy Vehicle,0
BACKLANE OFF ROWELL ROAD,Heavy Vehicle,0
BACKLANE OFF SAM LEONG ROAD,Heavy Vehicle,0
BACKLANE OFF SAM LEONG ROAD/JALAN BESAR,Heavy Vehicle,0
BACKLANE OFF STURDEE ROAD,Heavy Vehicle,0
BEATTY ROAD,Heavy Vehicle,0
BEATTY ROAD OFF STREET,Heavy Vehicle,0
BELILIOS LANE OFF STREET,Heavy Vehicle,0
BENG WAN ROAD OFF STREET,Heavy Vehicle,0
BIRCH ROAD,Heavy Vehicle,2
BUFFALO ROAD SERVICE ROAD,Heavy Vehicle,0
CAMPBELL LANE,Heavy Vehicle,0
CHANDER ROAD,Heavy Vehicle,0
CLIVE STREET,Heavy Vehicle,2
CUFF ROAD,Heavy Vehicle,0
DALHOUSIE LANE,Heavy Vehicle,0
DESKER ROAD,Heavy Vehicle,0
DICKSON ROAD,Heavy Vehicle,0
DICKSON ROAD OFF STREET,Heavy Vehicle,0
DUNLOP STREET,Heavy Vehicle,0
FARRER PARK SQUASH & TENNIS CENTRE (SSC),Heavy Vehicle,0
FLANDERS SQUARE,Heavy Vehicle,0
HINDOO ROAD,Heavy Vehicle,0
HINDOO ROAD OFF STREET,Heavy Vehicle,0
HINDOO ROAD/KAMPONG KAPOR ROAD OFF STREET,Heavy Vehicle,0
JALAN BESAR / BEATTY ROAD OFF STREET,Heavy Vehicle,0
JALAN SEMERBAK,Heavy Vehicle,0
JOO AVENUE,Heavy Vehicle,0
KAMPONG KAPOR ROAD,Heavy Vehicle,0
KAMPONG KAPOR ROAD OFF STREET,Heavy Vehicle,0
KERBAU ROAD,Heavy Vehicle,0
KINTA ROAD,Heavy Vehicle,0
KINTA ROAD OFF STREET,Heavy Vehicle,0
KITCHENER ROAD,Heavy Vehicle,0
LEMBU ROAD,Heavy Vehicle,0
MAYO STREET,Heavy Vehicle,0
MOONSTONE LANE,Heavy Vehicle,0
NORRIS ROAD,Heavy Vehicle,0
OPAL CRESCENT,Heavy Vehicle,0
OWEN ROAD (SERANGOON/ RACE COURSE ROAD),Heavy Vehicle,0
OWEN ROAD/ DORSET ROAD / CAMBRIDGE ROAD,Heavy Vehicle,0
PERAK ROAD,Heavy Vehicle,0
PERUMAL ROAD,Heavy Vehicle,0
PETAIN ROAD (SERANGOON ROAD / JALAN BESAR),Heavy Vehicle,0
PETAIN ROAD OFF STREET,Heavy Vehicle,0
RACE COURSE LANE,Heavy Vehicle,4
RACE COURSE ROAD,Heavy Vehicle,0
RACE COURSE ROAD (BET BT TIMAH / RANGOON RD),Heavy Vehicle,0
RACE COURSE ROAD / NORTHUMBERLAND ROAD,Heavy Vehicle,3
RANGOON LANE,Heavy Vehicle,0
RANGOON LANE OFF STREET,Heavy Vehicle,0
RANGOON ROAD,Heavy Vehicle,0
ROBERTS LANE,Heavy Vehicle,0
ROWELL ROAD,Heavy Vehicle,0
RUBY LANE,Heavy Vehicle,0
SAM LEONG ROAD,Heavy Vehicle,0
SERANGOON RD(KITCHENER RD/LAVENDER ST),Heavy Vehicle,0
SERVICE ROAD OFF JALAN KELULUT,Heavy Vehicle,0
SING AVENUE,Heavy Vehicle,0
SING JOO WALK,Heavy Vehicle,0
SOMME ROAD,Heavy Vehicle,0
ST WILFRID SPORTS COMPLEX (SSC),Heavy Vehicle,0
STARLIGHT ROAD / TERRACE,Heavy Vehicle,0
STURDEE ROAD,Heavy Vehicle,0
SYED ALWI ROAD (JALAN BESAR / SERANGOON RD),Heavy Vehicle,0
SYED ALWI ROAD(JALAN BESAR/ROCHOR CANAL RD),Heavy Vehicle,0
TESSENSOHN ROAD,Heavy Vehicle,0
UPPER DICKSON ROAD,Heavy Vehicle,0
UPPER WELD ROAD,Heavy Vehicle,0
VEERASAMY ROAD,Heavy Vehicle,0
VERDUN ROAD,Heavy Vehicle,0
VERDUN ROAD OFF STREET,Heavy Vehicle,0
BACKLANE BET BOON TAT STREET/MCCALLUM STREET,Heavy Vehicle,0
BACKLANE BET CECIL STREET/MARKET STREET,Heavy Vehicle,0
MARINA VIEW OFF STREET,Heavy Vehicle,0
PALMER ROAD,Heavy Vehicle,0
PALMER ROAD OFF STREET,Heavy Vehicle,5
PRINCE EDWARD ROAD / SHENTON WAY OFF STREET,Heavy Vehicle,0
JURONG OUTDOOR FUTSAL CENTRE (SSC),Heavy Vehicle,0
JURONG STADIUM (SSC),Heavy Vehicle,137
CHANGI SOUTH LANE,Heavy Vehicle,0
TAMPINES AVENUE 9/ AVENUE 10 HV PARK,Heavy Vehicle,539
ANGULLIA PARK OFF STREET,Heavy Vehicle,0
CLAYMORE HILL,Heavy Vehicle,2
CLAYMORE ROAD,Heavy Vehicle,2
BACKLANE BET CRAIG ROAD/DUXTON ROAD,Heavy Vehicle,0
BACKLANE BET PECK SEAH STREET/TRAS STREET,Heavy Vehicle,0
BACKLANE BET TRAS STREET/COOK STREET,Heavy Vehicle,0
BACKLANE OFF COOK STREET,Heavy Vehicle,0
BERNAM STREET,Heavy Vehicle,0
COOK STREET,Heavy Vehicle,0
DUXTON HILL,Heavy Vehicle,0
DUXTON ROAD,Heavy Vehicle,1
ENGGOR STREET,Heavy Vehicle,0
PECK SEAH STREET,Heavy Vehicle,1
PECK SEAH STREET OFF STREET,Heavy Vehicle,0
TANJONG PAGAR ROAD,Heavy Vehicle,0
TRAS STREET,Heavy Vehicle,0
WALLICH STREET,Heavy Vehicle,0
YAN KIT ROAD,Heavy Vehicle,1
YAN KIT ROAD / CANTONMENT ROAD OFF ST,Heavy Vehicle,0
AMOY STREET,Heavy Vehicle,0
AMOY STREET OFF STREET,Heavy Vehicle,0
BACKLANE BET BOON TAT STREET/AMOY STREET,Heavy Vehicle,0
BACKLANE OFF AMOY STREET,Heavy Vehicle,0
BACKLANE OFF BOON TAT STREET,Heavy Vehicle,0
BACKLANE OFF MCCALLUM STREET,Heavy Vehicle,0
BOON TAT STREET,Heavy Vehicle,0
MCCALLUM STREET,Heavy Vehicle,0
STANLEY STREET,Heavy Vehicle,0
TELOK AYER STREET,Heavy Vehicle,3
JALAN GELENGGANG,Heavy Vehicle,0
JALAN KURAS,Heavy Vehicle,0
SIN MING DRIVE,Heavy Vehicle,0
SIN MING DRIVE OFF STREET,Heavy Vehicle,0
SIN MING ROAD HEAVY VEHICLE PARK,Heavy Vehicle,81
WHITLEY ROAD / THOMSON ROAD HEAVY VEH PARK,Heavy Vehicle,141
TOA PAYOH EAST,Heavy Vehicle,4
TOA PAYOH WEST,Heavy Vehicle,0
23 TO 27 TUAS AVENUE 13 (JTC),Heavy Vehicle,25
TUAS AVENUE 1,Heavy Vehicle,0
TUAS AVENUE 11,Heavy Vehicle,0
TUAS AVENUE 12,Heavy Vehicle,0
TUAS AVENUE 13,Heavy Vehicle,0
TUAS AVENUE 18A,Heavy Vehicle,0
TUAS AVENUE 3,Heavy Vehicle,0
TUAS AVENUE 5,Heavy Vehicle,0
TUAS AVENUE 7,Heavy Vehicle,0
TUAS AVENUE 9,Heavy Vehicle,0
TUAS BASIN CLOSE,Heavy Vehicle,0
TUAS DRIVE 1,Heavy Vehicle,0
TUAS DRIVE 2,Heavy Vehicle,0
TUAS LANE,Heavy Vehicle,0
TUAS LINK 2,Heavy Vehicle,0
TUAS LINK 4,Heavy Vehicle,0
TUAS ROAD,Heavy Vehicle,0
TUAS ROAD (JTC),Heavy Vehicle,11
TUAS SOUTH AVENUE 1,Heavy Vehicle,0
TUAS SOUTH STREET 2,Heavy Vehicle,0
TUAS SOUTH STREET 5 (JTC),Heavy Vehicle,0
TUAS WEST AVENUE,Heavy Vehicle,0
KAKI BUKIT AVENUE 4,Heavy Vehicle,0
KAKI BUKIT PLACE,Heavy Vehicle,0
KAKI BUKIT ROAD 1,Heavy Vehicle,11
KAKI BUKIT ROAD 2,Heavy Vehicle,0
KAMPONG UBI INDUSTRIAL ESTATE (JTC),Heavy Vehicle,0
KIM CHUAN ROAD,Heavy Vehicle,0
NEW INDUSTRIAL ROAD,Heavy Vehicle,0
TAI SENG AVENUE,Heavy Vehicle,14
TAI SENG DRIVE,Heavy Vehicle,0
TAI SENG STREET,Heavy Vehicle,0
UBI AVENUE 1,Heavy Vehicle,0
UBI AVENUE 3,Heavy Vehicle,0
UBI AVENUE 4,Heavy Vehicle,0
UBI CRESCENT,Heavy Vehicle,0
UBI LINK,Heavy Vehicle,0
UBI ROAD 1,Heavy Vehicle,0
UBI ROAD 2,Heavy Vehicle,0
UBI ROAD 3,Heavy Vehicle,0
UBI ROAD 4,Heavy Vehicle,0
UBI VIEW,Heavy Vehicle,0
CHEONG CHIN NAM ROAD,Heavy Vehicle,0
JALAN SEH CHUAN OFF STREET,Heavy Vehicle,0
JALAN SEH CHUAN/LORONG KILAT OFF STREET,Heavy Vehicle,9
LORONG KILAT,Heavy Vehicle,0
SERVICE ROAD OFF UPPER BUKIT TIMAH ROAD,Heavy Vehicle,0
UPPER BUKIT TIMAH ROAD,Heavy Vehicle,0
ANCHORVALE CRESCENT HEAVY VEHICLE PARK,Heavy Vehicle,298
ANCHORVALE ROAD,Heavy Vehicle,0
ANCHORVALE STREET,Heavy Vehicle,0
BACKLANE OFF FARLEIGH AVENUE,Heavy Vehicle,0
BACKLANE OFF SERANGOON GARDEN WAY,Heavy Vehicle,0
BRIGHTON CRESCENT,Heavy Vehicle,0
BURGHLEY DRIVE SPORTS COMPLEX (SSC),Heavy Vehicle,0
FARLEIGH AVENUE,Heavy Vehicle,0
FARLEIGH AVENUE OFF STREET,Heavy Vehicle,0
KENSINGTON PARK ROAD OFF STREET,Heavy Vehicle,0
KENSINGTON PARK ROAD SERVICE ROAD,Heavy Vehicle,0
KOVAN ROAD,Heavy Vehicle,0
LIM TUA TOW ROAD,Heavy Vehicle,0
LIM TUA TOW ROAD OFF STREET,Heavy Vehicle,0
MAJU AVENUE,Heavy Vehicle,0
MAJU AVENUE SERVICE ROAD,Heavy Vehicle,0
SERANGOON GARDEN MARKET OFF STREET,Heavy Vehicle,0
SERANGOON GARDEN WAY,Heavy Vehicle,0
SERANGOON GARDEN WAY SERVICE ROAD,Heavy Vehicle,0
SERANGOON SPORTS COMPLEX (SSC),Heavy Vehicle,4
SIMON ROAD SERVICE ROAD,Heavy Vehicle,0
SOMMERVILLE WALK,Heavy Vehicle,0
SUNSHINE TERRACE,Heavy Vehicle,0
TAMPINES ROAD HEAVY VEHICLE PARK,Heavy Vehicle,169
TAMPINES ROAD/HOUGANG AVE 7 HEAVY VEH PARK,Heavy Vehicle,312
TECK CHYE TERRACE,Heavy Vehicle,0
UPPER SERANGOON ROAD,Heavy Vehicle,0
UPPER SERANGOON ROAD (BARTLEY RD JUNCTION),Heavy Vehicle,0
CASUARINA ROAD,Heavy Vehicle,0
JALAN KURAS OFF STREET,Heavy Vehicle,0
JALAN LEBAN SERVICE ROAD,Heavy Vehicle,0
OLD UPPER THOMSON ROAD,Heavy Vehicle,0
OLD UPPER THOMSON ROAD OFF STREET,Heavy Vehicle,0
SEMBAWANG HILLS FOOD CENTRE OFF STREET,Heavy Vehicle,0
SERVICE ROAD OFF SIN MING ROAD,Heavy Vehicle,0
TAGORE DRIVE,Heavy Vehicle,0
TAGORE INDUSTRIAL AVENUE,Heavy Vehicle,0
TAGORE LANE,Heavy Vehicle,0
TAGORE ROAD,Heavy Vehicle,21
UPPER THOMSON ROAD,Heavy Vehicle,0
UPPER THOMSON ROAD (LAKEVIEW ESTATE),Heavy Vehicle,0
UPPER THOMSON ROAD OFF STREET,Heavy Vehicle,0
15 WOODLANDS LOOP / 22 WOODLANDS LINK (JTC),Heavy Vehicle,769
MARSILING CRESCENT,Heavy Vehicle,29
MARSILING CRESCENT HEAVY VEHICLE PARK,Heavy Vehicle,593
RIVERSIDE ROAD,Heavy Vehicle,75
WOODLANDS AVE 9 (WOODLANDS AVE 8/LINK),Heavy Vehicle,60
WOODLANDS INDUSTRIAL PARK E 1,Heavy Vehicle,0
WOODLANDS INDUSTRIAL PARK E 3,Heavy Vehicle,0
WOODLANDS INDUSTRIAL PARK E 5,Heavy Vehicle,0
WOODLANDS INDUSTRIAL PARK E 6,Heavy Vehicle,0
WOODLANDS INDUSTRIAL PARK E 8,Heavy Vehicle,0
WOODLANDS INDUSTRIAL PARK E 9,Heavy Vehicle,0
WOODLANDS LINK,Heavy Vehicle,15
WOODLANDS LOOP,Heavy Vehicle,0
WOODLANDS SECTOR 1,Heavy Vehicle,0
WOODLANDS TERRACE,Heavy Vehicle,0
WOODLANDS WALK,Heavy Vehicle,0
SERVICE ROAD OFF JALAN SELASEH,Heavy Vehicle,0
GOODLINK PARK / JALAN MATA AYER OFF STREET,Heavy Vehicle,0
YISHUN AVENUE 1,Heavy Vehicle,45
"YISHUN AVENUE 1 (FROM BLK 433,LOTS SL1-SL88)",Heavy Vehicle,42
YISHUN AVENUE 7,Heavy Vehicle,0
YISHUN AVENUE 7 HEAVY VEHICLE PARK,Heavy Vehicle,626
YISHUN INDUSTRIAL PARK A,Heavy Vehicle,47
YISHUN SPORTS COMPLEX (SSC),Heavy Vehicle,8
YISHUN SWIMMING COMPLEX (SSC),Heavy Vehicle,0
